ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
MLPR,2.2,4.2,4.8,4.2,3.8,4.7,4.1,R2score
ABR,2.2,3.8,5.3,3.4,3.1,6.0,4.2,R2score
KNNR,1.3,6.3,4.9,3.6,3.3,4.3,4.3,R2score
GBR,1.8,4.9,4.6,3.5,2.6,5.7,4.9,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.2,5.1,R2score
SGDR,1.3,5.2,4.2,4.1,3.1,5.0,5.1,R2score
RFR,1.9,4.8,4.9,3.4,2.7,5.0,5.3,R2score
avarage,1.9,4.89,4.9,3.71,3.05,4.93,4.62,R2score
std,0.47,0.77,0.39,0.3,0.46,0.65,0.53,R2score
