ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.7,4.0,3.8,4.75,2.2,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
MLPR,3.5,4.1,4.5,4.5,4.0,4.0,3.4,MAX
RNR,5.2,2.1,4.7,4.2,4.6,3.7,3.5,MAX
SGDR,4.8,3.7,3.8,4.1,4.6,3.5,3.5,MAX
GBR,3.7,2.6,4.8,3.4,3.6,6.1,3.8,MAX
RFR,4.8,2.1,4.3,3.6,4.3,4.9,4.0,MAX
ABR,3.2,3.4,4.6,3.7,3.5,5.5,4.1,MAX
avarage,4.09,3.19,4.68,3.96,4.04,4.67,3.38,MAX
std,0.76,0.84,0.55,0.37,0.42,0.89,0.68,MAX
