ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,3.9,5.7,3.8,3.8,4.85,2.5,MAX
SVR,4.1,3.3,5.0,4.1,3.9,4.9,2.7,MAX
RFR,4.9,2.3,4.4,3.8,4.4,5.0,3.2,MAX
ABR,3.2,3.5,4.6,3.9,3.6,5.8,3.4,MAX
MLPR,3.3,3.9,4.6,4.6,3.8,4.0,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.5,3.6,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.3,4.1,MAX
GBR,3.7,2.4,4.8,3.4,3.5,6.0,4.2,MAX
avarage,4.08,3.11,4.7,3.96,3.99,4.68,3.48,MAX
std,0.79,0.76,0.54,0.34,0.39,0.98,0.64,MAX
