ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.6,4.9,4.2,3.8,4.8,3.4,R2score
ABR,2.4,3.9,5.4,3.6,3.1,6.1,3.5,R2score
SVR,2.8,4.6,5.1,3.9,3.5,4.5,3.6,R2score
KNNR,1.3,6.4,4.9,3.7,3.4,4.4,3.9,R2score
SGDR,1.3,5.5,4.4,4.3,3.3,5.2,4.0,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
GBR,1.8,4.8,4.6,3.4,2.9,5.8,4.7,R2score
RFR,2.0,5.0,4.9,3.4,2.8,5.0,4.9,R2score
avarage,1.98,5.04,4.95,3.78,3.18,5.01,4.07,R2score
std,0.52,0.76,0.35,0.34,0.4,0.66,0.58,R2score
