ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.7,4.6,5.1,3.8,3.4,4.5,3.9,R2score
ABR,2.3,3.8,5.4,3.5,3.1,6.0,3.9,R2score
MLPR,2.3,4.4,4.7,4.1,3.8,4.7,4.0,R2score
KNNR,1.3,6.3,4.9,3.5,3.4,4.4,4.2,R2score
SGDR,1.3,5.2,4.3,4.2,3.2,5.2,4.6,R2score
RNR,1.9,5.4,5.4,3.7,2.6,4.3,4.7,R2score
GBR,1.8,4.9,4.6,3.4,2.8,5.8,4.7,R2score
RFR,1.9,4.9,4.9,3.6,2.7,5.1,4.9,R2score
avarage,1.94,4.94,4.91,3.72,3.12,5.0,4.36,R2score
std,0.49,0.74,0.38,0.29,0.41,0.64,0.41,R2score
