DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,SVR,1.4979909241086162,2.0,1.6004235405106662,7.0,1.5511361746280719,4.0,1.4979909241086162,2.0,1.4979909241086162,2.0,1.5918652773531898,5.0,1.5965540807968968,6.0,max_solid_angle,9.5,MAE
ailerons,SVR,0.0009593963636363668,3.0,0.0009593963636363668,3.0,0.0012981732614115195,6.0,0.0009593963636363668,3.0,0.0009593963636363668,3.0,0.008517046602043212,7.0,0.0009593963636363668,3.0,max_solid_angle,9.5,MAE
cpu_act,SVR,5.253500342735277,2.0,5.8929199425230285,6.0,5.4443483627059015,4.0,5.253500342735277,2.0,5.253500342735277,2.0,5.788641469752605,5.0,5.977000219123559,7.0,max_solid_angle,9.5,MAE
autoPrice,SVR,4173.488558724169,1.0,7018.2380136318125,7.0,5751.154329216103,5.0,5568.026230754462,3.0,4902.33609844895,2.0,5733.555814154459,4.0,6967.893865659535,6.0,max_solid_angle,9.5,MAE
cpu_small,SVR,5.223249246888244,2.0,5.872403267878496,6.0,5.470105424014244,4.0,5.223249246888244,2.0,5.223249246888244,2.0,5.476064558069117,5.0,5.936537647677229,7.0,max_solid_angle,9.5,MAE
bank8FM,SVR,0.037702994375327606,6.0,0.03648511719503345,1.0,0.03749668122306361,5.0,0.03703528390359544,4.0,0.036837923919495016,3.0,0.038646212533677365,7.0,0.03650674123666375,2.0,max_solid_angle,9.5,MAE
bank32nh,SVR,0.06817784489932963,4.0,0.06634908881101256,1.0,0.07014929296643464,7.0,0.06812109175536102,3.0,0.06936869986169134,5.0,0.0695908869680096,6.0,0.06665050524922105,2.0,max_solid_angle,9.5,MAE
elevators,SVR,0.0231897402323969,4.0,0.0231897402323969,4.0,0.03109026288332845,7.0,0.0231897402323969,4.0,0.0231897402323969,4.0,0.014850881789632803,1.0,0.0231897402323969,4.0,max_solid_angle,9.5,MAE
fried,SVR,1.6236997195093967,1.0,1.7130957931966733,3.0,1.8198148698248613,6.0,1.7617644987405174,4.0,1.7627322775519616,5.0,1.9354039676563235,7.0,1.675452612777656,2.0,max_solid_angle,9.5,MAE
puma32H,SVR,0.02347642090690816,3.0,0.02347642090690816,3.0,0.02368327197882976,6.0,0.02347642090690816,3.0,0.02347642090690816,3.0,0.024072284643198882,7.0,0.02347642090690816,3.0,max_solid_angle,9.5,MAE
